4,0.0131
6,0.008
8,0.0072
10,0.0094
12,0.01
14,0.0111
16,0.0123
18,0.014
20,0.0159
22,0.0184
24,0.0205
26,0.0229
28,0.0254
30,0.028
32,0.0313
34,0.0348
36,0.0373
38,0.0445
40,0.0457
42,0.049
44,0.0527
46,0.0567
48,0.0608
50,0.065
52,0.0698
54,0.0744
56,0.0789
58,0.0845
60,0.0944
62,0.098
64,0.1014
66,0.1072
68,0.1127
70,0.1191
72,0.127
74,0.1319
76,0.1384
78,0.148
80,0.1539
82,0.1602
84,0.1677
86,0.1741
88,0.1844
90,0.19
92,0.1975
94,0.2058
96,0.2139
98,0.2242
100,0.2319
102,0.2408
104,0.2646
106,0.26
108,0.273
110,0.2819
112,0.2885
114,0.3017
116,0.3083
118,0.3708
120,0.3468
122,0.3405
124,0.3654
126,0.4853
128,0.4033
130,0.3806
132,0.5159
134,0.4125
136,0.4264
138,0.6201
140,0.4403
142,0.45
144,0.4788
146,0.466
148,0.4752
150,0.5007
152,0.5082
154,0.5224
156,0.5357
158,0.5758
160,0.5861
162,0.599
164,0.6348
166,0.6427
168,0.9593
170,0.9947
172,0.9821
174,0.7111
176,0.852
178,1.121
180,1.1231
182,1.2152
184,1.1435
186,1.1606
188,1.3148
190,1.219
192,1.2735
194,1.4608
196,1.3365
198,1.4073
200,1.3863
202,1.3543
204,1.3738
206,1.3539
208,1.4036
210,1.4478
212,1.4714
214,1.5123
216,1.5335
218,1.5587
220,1.6164
222,1.8011
224,1.8309
226,1.7604
228,1.7303
230,1.8363
232,1.7492
234,1.8648
236,1.9411
238,1.9832
240,2.0042
242,1.986
244,2.015
246,2.0381
248,2.0255
250,2.0385
252,2.1498
254,2.0841
256,2.351
258,2.2606
260,5.6209
262,1.7678
264,1.655
266,1.5974
268,1.5895
270,1.7071
272,1.8676
274,1.6666
276,1.6879
278,1.9299
280,1.7544
282,1.7814
284,1.843
286,2.0305
288,1.8687
290,1.9062
292,1.9267
294,1.9031
296,1.9488
298,1.9781
300,2.026
302,2.119
304,2.23
306,2.2238
308,2.3176
310,2.2846
312,2.3071
314,2.3697
316,2.4316
318,2.6451
320,2.4599
322,2.4437
324,2.6231
326,2.4884
328,2.5072
330,2.5374
332,2.6004
334,2.6399
336,2.6941
338,2.7831
340,2.6869
342,2.7194
344,2.7417
346,2.9239
348,2.9687
350,2.911
352,3.1661
354,2.96
356,3.3677
358,6.2957
360,3.0732
362,3.1029
364,3.1863
366,3.1728
368,3.1688
370,3.3788
372,3.3103
374,3.567
376,3.3665
378,3.5538
380,3.6306
382,3.772
384,3.5394
386,3.7253
388,3.7362
390,3.7712
392,3.6855
394,3.8631
396,3.7841
398,3.8071
